NgayPhatHanh,Nam,Thang,Quy,ThapKy,GiaiDoan
2019-05-30,2019,5,2,2010s,2015-2019
2018-09-28,2018,9,3,2010s,2015-2019
2016-10-07,2016,10,4,2010s,2015-2019
2019-07-24,2019,7,3,2010s,2015-2019
2014-10-15,2014,10,4,2010s,2010-2014
2017-03-08,2017,3,1,2010s,2015-2019
2013-08-01,2013,8,3,2010s,2010-2014
2017-01-13,2017,1,1,2010s,2015-2019
2003-11-21,2003,11,4,2000s,2000-2009
2017-03-29,2017,3,1,2010s,2015-2019
2015-07-16,2015,7,3,2010s,2015-2019
2018-08-09,2018,8,3,2010s,2015-2019
2017-07-20,2017,7,3,2010s,2015-2019
2017-06-06,2017,6,2,2010s,2015-2019
2016-07-20,2016,7,3,2010s,2015-2019
2016-05-25,2016,5,2,2010s,2015-2019
2020-09-04,2020,9,3,2020s,2020-2025
2019-09-17,2019,9,3,2010s,2015-2019
2010-06-10,2010,6,2,2010s,2010-2014
2019-05-29,2019,5,2,2010s,2015-2019
2016-07-27,2016,7,3,2010s,2015-2019
2016-01-23,2016,1,1,2010s,2015-2019
2014-04-16,2014,4,2,2010s,2010-2014
2016-12-16,2016,12,4,2010s,2015-2019
2019-10-02,2019,10,4,2010s,2015-2019
2020-03-05,2020,3,1,2020s,2020-2025
2019-10-23,2019,10,4,2010s,2015-2019
2016-04-06,2016,4,2,2010s,2015-2019
2016-10-19,2016,10,4,2010s,2015-2019
2019-06-12,2019,6,2,2010s,2015-2019
2016-11-17,2016,11,4,2010s,2015-2019
2008-07-01,2008,7,3,2000s,2000-2009
2017-06-28,2017,6,2,2010s,2015-2019
2022-04-07,2022,4,2,2020s,2020-2025
2019-09-19,2019,9,3,2010s,2015-2019
2008-12-12,2008,12,4,2000s,2000-2009
2017-12-07,2017,12,4,2010s,2015-2019
2003-05-02,2003,5,2,2000s,2000-2009
2016-06-01,2016,6,2,2010s,2015-2019
2020-12-03,2020,12,4,2020s,2020-2025
2000-07-06,2000,7,3,2000s,2000-2009
2020-07-10,2020,7,3,2020s,2020-2025
2006-07-27,2006,7,3,2000s,2000-2009
2006-06-16,2006,6,2,2000s,2000-2009
2004-02-10,2004,2,1,2000s,2000-2009
2017-09-28,2017,9,3,2010s,2015-2019
2014-12-12,2014,12,4,2010s,2010-2014
2017-01-26,2017,1,1,2010s,2015-2019
2010-08-12,2010,8,3,2010s,2010-2014
