MaPhim,TenPhim,DiemDanhGiaTB,SoLuotDanhGia,TrangThai,NgayPhatHanh,DoanhThu,ThoiLuong,PhimNguoiLon,DuongDanAnhNen,NganSach,TrangChu,MaIMDb,NgonNguGoc,TenGoc,TomTatNoiDung,DoPhoBien,DuongDanPoster,CauGioiThieu,TheLoai,CongTySanXuat,QuocGiaSanXuat,NgonNguDuocNoi,TuKhoa,QuocGiaDuocChon,QuocGiaDuocChonText,QuocGiaChinh,NamPhatHanh,TenPhimHienThi,CanBoSungTenTiengAnh,DuSoLuotDanhGia,CoDoanhThu,CoNganSach,ThoiLuongBatThuong,TenPhimTiengAnh,TomTatNoiDungTiengAnh,ThoiLuongAPI,NganSachAPI,DoanhThuAPI,MaIMDbAPI,DaBoSungTuAPI,NguonBoSung,ThoiDiemBoSung,TenPhimHienThiCuoi,ThoiLuongPhanTich,NguonThoiLuong,NganSachPhanTich,NguonNganSach,DoanhThuPhanTich,NguonDoanhThu
496243,Parasite,8.515,16430,Released,2019-05-30,257591776.0,133.0,False,/hiKmpZMGZsrkA3cdce8a7Dpos1j.jpg,11363000.0,https://www.parasite-movie.com/,tt6751668,ko,기생충,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",64.627,/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,Act like you own the place.,"Comedy, Thriller, Drama",Barunson E&A,South Korea,"English, German, Korean","dark comedy, private lessons, birthday party, con artist, working class, psychological thriller, class differences, housekeeper, tutor, family, crime family, unemployed, satirical, desperate, wealthy family, complex, south korea, seoul, south korea, critical, egotistical, hilarious, intense, baffled, callous, dubious, farcical, mean spirited, straightforward, urgent",['South Korea'],South Korea,South Korea,2019,Parasite,False,True,True,True,False,,,,,,,False,,,Parasite,133,Gốc,11363000,Gốc,257591776,Gốc
335983,Venom,6.826,14724,Released,2018-09-28,856085151.0,112.0,False,/VuukZLgaCrho2Ar8Scl9HtV3yD.jpg,116000000.0,https://www.sonypictures.com/movies/venom,tt1270797,en,Venom,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.",48.649,/2uNW4WbgBXL25BAbXGLnLqX71Sw.jpg,The world has enough Superheroes.,"Science Fiction, Action","Matt Tolmach Productions, Pascal Pictures, Marvel Entertainment, Tencent Pictures, Arad Productions","China, United States of America","Mandarin, English, Malay","spacecraft, san francisco, california, superhero, anti hero, alien life-form, based on comic, aftercreditsstinger, duringcreditsstinger, business tycoon, symbiote, genetic experiment",['China'],China,China,2018,Venom,False,True,True,True,False,,,,,,,False,,,Venom,112,Gốc,116000000,Gốc,856085151,Gốc
324786,Hacksaw Ridge,8.195,12668,Released,2016-10-07,175302354.0,139.0,False,/rshlQ6LfPRSWFhpGL4s5ZkIPR51.jpg,40000000.0,https://www.lionsgate.com/movies/hacksaw-ridge,tt2119532,en,Hacksaw Ridge,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",74.994,/jcStBvbQt78tPeId5hC7a9jcDOK.jpg,One of the greatest heroes in American history never fired a bullet.,"Drama, History, War","Vendian Entertainment, Summit Entertainment, Cross Creek Pictures, IM Global, Screen Australia, Screen NSW, Permut Presentations, Pandemonium, Demarest Films, Lionsgate, Bliss Media, Kylin Pictures, AI Film","Australia, China, United Kingdom, United States of America","Japanese, English","japan, world war ii, violent father, pacifism, bible, gore, biography, based on true story, okinawa, conscientious objector, religion, soldier, alcoholic, war hero, medic, us military, battle of okinawa, congressional medal of honor",['China'],China,China,2016,Hacksaw Ridge,False,True,True,True,False,,,,,,,False,,,Hacksaw Ridge,139,Gốc,40000000,Gốc,175302354,Gốc
466272,Once Upon a Time… in Hollywood,7.437,12237,Released,2019-07-24,374251247.0,162.0,False,/xwgBHC2FgoIrQitl8jZwXXdsR9u.jpg,95000000.0,https://www.sonypictures.com/movies/onceuponatimeinhollywood,tt7131622,en,Once Upon a Time… in Hollywood,"Los Angeles, 1969. TV star Rick Dalton, a struggling actor specializing in westerns, and stuntman Cliff Booth, his best friend, try to survive in a constantly changing movie industry. Dalton is the neighbor of the young and promising actress and model Sharon Tate, who has just married the prestigious Polish director Roman Polanski…",47.706,/8j58iEBw9pOXFD2L0nt0ZXeHviB.jpg,"In this town, it can all change… like that","Comedy, Drama, Thriller","Heyday Films, Columbia Pictures, Bona Film Group","China, United Kingdom, United States of America","English, Italian, Spanish","movie business, male friendship, based on true story, celebrity, fame, hollywood, los angeles, california, historical fiction, buddy, filmmaking, struggling actor, satanic cult, revisionist history, duringcreditsstinger, western filmmaking, manson family murders, 1960s, stunt double, old hollywood, sharon tate, charles manson",['China'],China,China,2019,Once Upon a Time… in Hollywood,False,True,True,True,False,,,,,,,False,,,Once Upon a Time… in Hollywood,162,Gốc,95000000,Gốc,374251247,Gốc
228150,Fury,7.518,11021,Released,2014-10-15,211817906.0,135.0,False,/kdbLf3aTQsEXqYlH9vA4fzmnSFz.jpg,68000000.0,,tt2713180,en,Fury,"In the last months of World War II, as the Allies make their final push in the European theatre, a battle-hardened U.S. Army sergeant named 'Wardaddy' commands a Sherman tank called 'Fury' and its five-man crew on a deadly mission behind enemy lines. Outnumbered and outgunned, Wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of Nazi Germany.",90.378,/pfte7wdMobMF4CVHuOxyu6oqeeA.jpg,War never ends quietly.,"War, Drama, Action","Columbia Pictures, QED International, LStar Capital, Le Grisbi Productions, Crave Films, Sony Pictures, Huayi Brothers Pictures","United Kingdom, United States of America, China","English, German, Spanish","hero, nazi, ambush, bravery, world war ii, heroism, tank, europe, execution, battle, brutality, hatred, tank battle, 1940s, enclosed space, beating the odds, european theatre, tanks",['China'],China,China,2014,Fury,False,True,True,True,False,,,,,,,False,,,Fury,135,Gốc,68000000,Gốc,211817906,Gốc
293167,Kong: Skull Island,6.514,9696,Released,2017-03-08,566652812.0,118.0,False,/jks6QgJjsaDC5iT6bxLsSS0eo6L.jpg,185000000.0,http://kongskullislandmovie.com/,tt3731562,en,Kong: Skull Island,"Explore the mysterious and dangerous home of the king of the apes as a team of explorers ventures deep inside the treacherous, primordial island.",39.514,/r2517Vz9EhDhj88qwbDVj8DCRZN.jpg,All hail the king,"Action, Adventure, Fantasy","Legendary Pictures, Tencent Pictures","China, United States of America","English, Vietnamese","vietnam veteran, island, monster, 1970s, expedition, giant monster, giant spider, creature, spin off, u.s. soldier, giant animal, kaiju, aftercreditsstinger, giant ape, monster island, water buffalo, uncharted, monsterverse",['China'],China,China,2017,Kong: Skull Island,False,True,True,True,False,,,,,,,False,,,Kong: Skull Island,118,Gốc,185000000,Gốc,566652812,Gốc
110415,Snowpiercer,6.902,8905,Released,2013-08-01,86758912.0,127.0,False,/55vkNtb83bSwbdWrQTVZTGLBcLx.jpg,39200000.0,,tt1706620,ko,Snowpiercer,"In a future where a failed global-warming experiment kills off most life on the planet, a class system evolves aboard the Snowpiercer, a train that travels around the globe via a perpetual-motion engine.",34.597,/9JPx09Rr0Txq2eSQfjq1DEBR5cx.jpg,"AD 2031, the passengers in the train are the only survivors on Earth.","Action, Science Fiction, Drama","CJ Entertainment, Opus Pictures, Stillking Films, Moho Film, Union Investment Partners, RADiUS-TWC, The Weinstein Company, SnowPiercer","Czech Republic, South Korea, United States of America","English, French, Japanese, Korean","parent child relationship, winter, brothel, child labour, pregnancy, dystopia, allegory, post-apocalyptic future, bridge, hijacking of train, rifle, based on comic, dam, train, based on graphic novel, guilt, revolt, duplicity, tunnel, social class, population control, perpetual winter, city ruin, 2030s",['South Korea'],South Korea,South Korea,2013,Snowpiercer,False,True,True,True,False,,,,,,,False,,,Snowpiercer,127,Gốc,39200000,Gốc,86758912,Gốc
47971,xXx: Return of Xander Cage,6.138,8541,Released,2017-01-13,346147658.0,107.0,False,/4QLdZ2A8mkDWp2rpfgDrwmeCtUW.jpg,85000000.0,,tt1293847,en,xXx: Return of Xander Cage,"Extreme athlete turned government operative Xander Cage comes out of self-imposed exile, thought to be long dead, and is set on a collision course with deadly alpha warrior Xiang and his team in a race to recover a sinister and seemingly unstoppable weapon known as Pandora's Box. Recruiting an all-new group of thrill-seeking cohorts, Xander finds himself enmeshed in a deadly conspiracy that points to collusion at the highest levels of world governments.",60.062,/hba8zREJpP1AYhaXgb2oJLQeO0K.jpg,"There are no more patriots, just rebels and tyrants.","Action, Adventure, Crime","Rox Productions, Revolution Studios, Maple Cage Productions, Huahua Media, Roth-Kirschenbaum Films, Shanghai Film Group, One Race, Paramount","Canada, China, United States of America",English,"airplane, tattoo, spy, extreme sports, parachute, secret agent, swimming pool, sequel, back from the dead, dominican republic, free fall",['China'],China,China,2017,xXx: Return of Xander Cage,False,True,True,True,False,,,,,,,False,,,xXx: Return of Xander Cage,107,Gốc,85000000,Gốc,346147658,Gốc
670,Oldboy,8.274,7790,Released,2003-11-21,15194593.0,120.0,False,/sdwjQEM869JFwMytTmvr6ggvaUl.jpg,3000000.0,,tt0364569,ko,올드보이,"With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate businessman seeks revenge on his captors.",53.128,/pWDtjs568ZfOTMbURQBYuT4Qxka.jpg,"Laugh, and the world laughs with you. Weep, and you weep alone.","Drama, Thriller, Mystery, Action","Show East, CJ Entertainment, Egg Film, Cineclick Asia",South Korea,Korean,"daughter, rage and hate, hostility, transformation, imprisonment, dark comedy, hypnosis, sushi restaurant, notebook, time, sin, alcoholism, flashback, revenge, loneliness, torture, based on manga, urination, rage, anger, catholic, incest, hopeless, captivity, neo-noir, father daughter relationship, asian origins, remade, south korea, hammer, driven to suicide, audacious, pessimistic",['South Korea'],South Korea,South Korea,2003,Oldboy,False,True,True,True,False,,,,,,,False,,,Oldboy,120,Gốc,3000000,Gốc,15194593,Gốc
315837,Ghost in the Shell,6.066,7581,Released,2017-03-29,169801921.0,107.0,False,/dDVqfmCzSy3TKSmiS2pJ9QB5E3P.jpg,110000000.0,http://www.ghostintheshellmovie.com/,tt1219827,en,Ghost in the Shell,"In the near future, Major is the first of her kind: a human saved from a terrible crash, then cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.",32.851,/myRzRzCxdfUWjkJWgpHHZ1oGkJd.jpg,There's nothing sadder than a puppet without a ghost.,"Science Fiction, Drama, Action","Weying Galaxy Entertainment, Paramount, Shanghai Film Group, Reliance Entertainment, Grosvenor Park Productions, Steven Paul Production, Huahua Media, Seaside Entertainment, DreamWorks Pictures, Arad Productions","China, Hong Kong, India, United States of America","Japanese, English","strong woman, hacker, philosophy, cyborg, dystopia, investigation, female protagonist, cyberpunk, terrorism, based on manga, evolution, network, based on anime, prosthesis, anxious",['China'],China,China,2017,Ghost in the Shell,False,True,True,True,False,,,,,,,False,,,Ghost in the Shell,107,Gốc,110000000,Gốc,169801921,Gốc
257344,Pixels,5.716,7061,Released,2015-07-16,244874809.0,105.0,False,/dsxpP9qbF1PHk4j4aPjimkLTwxq.jpg,88000000.0,https://www.sonypictures.com/movies/pixels,tt2120120,en,Pixels,Video game experts are recruited by the military to fight 1980s-era video game characters who've attacked New York.,32.028,/rV5DzghQv6z6Yagak6ysKE77nuf.jpg,Game On.,"Action, Comedy, Science Fiction","Sony Pictures, Columbia Pictures, 1492 Pictures, LStar Capital, China Film Group Corporation, Happy Madison Productions","China, United States of America",English,"new york city, london, england, usa president, washington dc, usa, video game, nerd, gamer, single mother, alien invasion, divorcee, centipede, childhood friends, military, gaming, divorced man, alien attack, 1980s, cable guy, live action and animation, donkey kong, darpa, taj mahal, india, guam, arcade game, world war, alternative world, old school, based on short film, aliens, pattern, best friends, pixelation, video arcade, space invaders, galaga, pac-man",['China'],China,China,2015,Pixels,False,True,True,True,False,,,,,,,False,,,Pixels,105,Gốc,88000000,Gốc,244874809,Gốc
345940,The Meg,6.256,7018,Released,2018-08-09,530517320.0,113.0,False,/6bAjogOzrB9xbmIaY3BRpZZgn5Q.jpg,150000000.0,https://www.warnerbros.com/movies/meg,tt4779682,en,The Meg,"A deep sea submersible pilot revisits his past fears in the Mariana Trench, and accidentally unleashes the seventy foot ancestor of the Great White Shark believed to be extinct.",101.431,/eyWICPcxOuTcDDDbTMOZawoOn8d.jpg,Pleased to eat you,"Action, Science Fiction, Horror","Apelles Entertainment, Gravity Pictures, di Bonaventura Pictures, Flagship Entertainment Group, Maeday Productions, Warner Bros. Pictures","China, United States of America","Mandarin, English, Japanese, Thai","beach, based on novel or book, ocean, deep sea, creature, underwater, shark, oceanic expedition, kaiju, submersible, extinct, underwater facility, mariana trench",['China'],China,China,2018,The Meg,False,True,True,True,False,,,,,,,False,,,The Meg,113,Gốc,150000000,Gốc,530517320,Gốc
